                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.558,                 4.4194,                      0,                 2.5556,                 1.4684,                 0.8947,                0.93194,                0.96093,                0.48852,                0.84493,                0.88436,                0.88465,                0.21007,                 1.6093,                 3.5464,                      0,                 1.4506,                 1.0849,             0.00065333,             0.00065333,             0.00065333
                      2,                 1.8657,                 2.9529,                      0,                 1.0934,                 1.1307,                 0.9471,                0.93717,                0.97507,                0.51599,                 0.9471,                0.93717,                0.97974,                0.41638,                 1.6166,                 2.6185,                      0,                0.91982,                 1.0675,              0.0013135,              0.0013135,              0.0013135
                      3,                 1.7528,                 2.6812,                      0,                  1.031,                 1.0924,                0.91907,                0.95138,                0.97161,                0.52591,                0.93712,                0.93629,                 0.9731,                0.42161,                 1.6007,                 2.4961,                      0,                0.73693,                 1.0828,               0.001967,               0.001967,               0.001967
                      4,                 1.7595,                 2.5673,                      0,                0.98592,                 1.1039,                0.95677,                 0.9269,                 0.9553,                0.48871,                0.97837,                0.94724,                 0.9829,                0.40314,                 1.6725,                 2.5028,                      0,                0.82195,                 1.0915,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.7798,                 2.4751,                      0,                0.90167,                 1.0864,                0.97318,                0.94998,                0.96942,                0.50576,                0.97979,                0.95288,                0.98406,                0.41547,                  1.587,                 2.3321,                      0,                0.77323,                 1.0616,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.8297,                 2.4514,                      0,                 0.9231,                 1.1023,                0.96315,                0.95784,                0.97934,                0.54598,                0.96315,                0.95784,                0.98272,                0.38575,                 1.5911,                 2.3465,                      0,                0.73635,                  1.058,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.7197,                 2.3977,                      0,                0.87622,                 1.0764,                0.95141,                0.96859,                 0.9816,                0.53753,                0.96826,                0.95829,                0.97686,                0.40728,                 1.5581,                 2.2398,                      0,                0.71185,                 1.0447,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.6831,                  2.357,                      0,                0.86192,                 1.0789,                0.97389,                0.96859,                0.98515,                0.53311,                0.96862,                0.96335,                0.97971,                0.40415,                  1.537,                 2.2591,                      0,                0.75115,                 1.0396,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.6586,                 2.3595,                      0,                0.89794,                 1.0719,                0.97362,                0.96613,                 0.9823,                0.58148,                 0.9864,                0.96859,                0.98495,                0.40027,                   1.44,                 2.3626,                      0,                0.69529,                 1.0134,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.6851,                 2.3458,                      0,                0.91464,                 1.0715,                0.96161,                0.95288,                0.97222,                0.55445,                0.97405,                0.96335,                0.98462,                0.42487,                 1.5381,                 2.3168,                      0,                0.73965,                 1.0429,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.7171,                 2.3189,                      0,                0.88938,                 1.0724,                0.98382,                0.95512,                0.98457,                0.53732,                0.98908,                0.96859,                0.98567,                0.44556,                 1.5231,                 2.1311,                      0,                0.73186,                 1.0321,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.6359,                 2.2575,                      0,                0.85496,                 1.0535,                0.97637,                0.97382,                0.98361,                0.54855,                0.98405,                0.97382,                0.97844,                0.43437,                  1.515,                 2.1959,                      0,                0.70888,                 1.0294,               0.001901,               0.001901,               0.001901
                     13,                 1.6786,                 2.2603,                      0,                0.82538,                 1.0805,                0.98025,                0.96859,                0.98107,                0.56015,                0.98087,                0.97906,                0.98636,                0.44243,                 1.4872,                 2.1313,                      0,                0.69282,                 1.0262,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.6346,                  2.241,                      0,                0.82305,                 1.0415,                0.98933,                0.97126,                0.98955,                0.56463,                0.99473,                0.98752,                0.98667,                0.43706,                 1.4594,                 2.1335,                      0,                0.65657,                 1.0189,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.6005,                 2.2389,                      0,                  0.774,                 1.0327,                      1,                0.96289,                0.98577,                0.57112,                0.99459,                0.96251,                0.98168,                0.46258,                 1.4925,                 2.0429,                      0,                0.65864,                 1.0197,              0.0018713,              0.0018713,              0.0018713
